1	 Neshek, P	PHI	0	0	0	0	3	5	0	11	29	0	0	0	0	0	73	305
2	 Garcia, L	PHI	0	0	0	0	2	1	2	16	22	2	0	1	0	0	63	230
3	 Neris, H	PHI	0	0	2	1	14	3	4	18	24	0	1	0	0	0	98	398
4	 Ramos, E	PHI	0	0	0	2	7	1	1	13	26	4	0	0	1	0	101	382
5	 Benoit, J	PHI	0	0	0	1	7	8	2	14	31	0	0	1	0	0	87	336
6	 Hellickson, J	PHI	0	0	4	0	0	0	4	62	93	2	1	1	2	0	254	950
7	 Eickhoff, J	PHI	0	0	1	2	0	0	3	48	70	2	1	5	0	0	253	928
8	 Nola, A	PHI	0	0	1	1	0	0	4	39	22	0	0	7	0	0	137	534
9	 Pivetta, N	PHI	0	0	1	0	0	0	2	14	19	0	0	0	2	0	90	391
10	 Leiter Jr., M	PHI	0	0	0	0	4	0	0	26	14	1	0	2	0	0	72	294
11	 Velasquez, V	PHI	0	0	2	1	0	0	2	48	44	2	1	1	2	0	220	889
12	 Rodriguez, J	PHI	0	0	3	3	4	3	6	38	20	0	1	0	0	0	121	443
13	 Eflin, Z	PHI	0	0	5	0	0	0	5	57	52	2	0	1	1	1	206	752
14	 Morgan, A	PHI	0	0	0	1	0	0	1	9	7	0	0	1	0	0	42	173
15	 Gomez, J	PHI	0	0	0	2	9	0	2	19	8	1	0	0	0	1	70	253
16	 Thompson, J	PHI	0	0	0	0	1	0	0	4	8	0	0	0	0	0	25	88
17	 Buchholz, C	PHI	0	0	0	0	0	0	1	6	10	0	0	0	0	0	40	144
18	 Pinto, R	PHI	0	0	0	0	0	0	0	2	2	0	0	0	0	0	15	58
