1	 Gilmartin, S	NYM	P	0	0	0	0	2	1	0	0	0	-.--	1	1
1	 Iglesias, R	CIN	P	0	0	0	0	2	1	0	0	0	-.--	2	1
1	 Salas, F	NYM	P	0	0	0	0	1	0	0	0	0	-.--	4	1
1	 Torres, J	SD	P	0	0	0	0	1	0	0	0	0	-.--	2	1
5	 Boyd, M	DET	P	0	0	0	0	1	0	0	1	0	*.**	3	2
5	 Buchanan, J	CIN	P	0	0	0	0	1	0	0	0	0	-.--	10	2
5	 Gallardo, Y	SEA	P	0	0	0	0	1	0	0	1	0	*.**	8	2
5	 Kluber, C	CLE	P	0	0	0	0	1	0	0	0	1	0.00	11	2
5	 Lively, B	PHI	P	0	0	0	0	1	0	0	0	0	-.--	9	2
5	 Lyles, J	COL	P	0	0	0	0	1	0	0	1	0	*.**	8	2
5	 Meyer, A	LAA	P	0	0	0	0	1	0	0	0	0	-.--	9	2
5	 Morgan, A	PHI	P	0	0	0	0	1	0	0	0	0	-.--	12	2
5	 Pena, F	BAL	C	0	0	0	0	11	2	0	2	0	*.**	38	10
5	 Smith, T	SEA	2B	0	0	0	0	2	1	0	0	0	-.--	9	2
5	 Travis, S	BOS	1B	0	0	0	0	9	2	0	2	1	2.00	72	16
5	 Winker, J	CIN	LF	0	0	0	0	2	1	0	0	0	-.--	5	2
17	 Centeno, J	HOU	C	1	0	0	0	9	2	0	2	1	2.00	25	8
18	 Ceciliani, D	TOR	LF	0	0	0	0	6	2	0	1	2	0.50	27	5
19	 Beltre, A	TEX	3B	0	0	0	1	15	4	0	6	6	1.00	114	27
20	 Sogard, E	MIL	2B	0	1	0	0	30	7	1	16	10	1.60	293	64
21	 Turner, J	LAD	3B	0	7	1	1	69	14	6	33	42	0.79	584	162
22	 Sierra, M	STL	CF	0	0	0	0	12	0	0	6	6	1.00	125	35
23	 Zimmerman, R	WSH	1B	0	1	0	2	139	34	8	52	37	1.41	805	214
24	 Flowers, T	ATL	C	0	10	0	0	55	7	3	25	28	0.89	570	143
25	 Cozart, Z	CIN	SS	0	0	0	3	114	27	3	40	48	0.83	924	217
25	 YoungJr, E	LAA	LF	0	2	0	0	13	3	0	10	2	5.00	94	27
27	 Posey, B	SF	C	2	4	0	1	87	14	5	53	48	1.10	746	201
28	 Vazquez, C	BOS	C	0	2	0	1	44	10	8	34	19	1.79	427	102
29	 Haniger, M	SEA	RF	0	2	1	0	48	12	1	19	15	1.27	378	95
30	 Freeman, F	ATL	1B	6	3	0	0	101	26	2	33	27	1.22	618	165
31	 Segura, J	SEA	SS	2	3	0	0	84	14	4	51	42	1.21	757	198
32	 Murphy, D	WSH	2B	5	2	0	0	118	27	8	53	67	0.79	808	224
33	 Lind, A	WSH	1B	2	0	0	1	40	10	1	20	17	1.18	294	75
33	 Rojas, M	MIA	3B	1	0	1	1	26	4	2	19	20	0.95	259	73
35	 Amarista, A	COL	LF	0	0	0	0	35	8	1	18	13	1.38	264	69
36	 Trout, M	LAA	CF	10	4	0	3	121	32	4	35	38	0.92	863	206
37	 Dickerson, C	TB	DH	3	3	0	0	136	32	4	54	50	1.08	944	242
38	 Adams, L	ATL	CF	0	0	0	0	3	0	1	3	1	3.00	27	9
38	 Glasnow, T	PIT	P	0	0	1	0	5	0	0	6	0	*.**	69	20
38	 Jansen, K	LAD	P	0	0	0	0	1	0	1	3	0	*.**	5	3
38	 Jimenez, U	BAL	P	0	0	0	0	1	0	0	0	0	-.--	9	3
38	 Phillips, B	MIL	CF	0	0	0	0	1	0	0	0	0	-.--	15	3
38	 Pineda, M	NYY	P	0	0	1	0	1	0	0	1	0	*.**	11	4
38	 Stephenson, R	CIN	P	0	0	0	0	1	0	0	0	0	-.--	14	3
38	 Velasquez, V	PHI	P	0	0	0	0	6	0	1	5	7	0.71	53	18
38	 Worley, V	MIA	P	0	0	0	0	1	0	0	0	0	-.--	13	3
47	 Bogaerts, X	BOS	SS	1	2	0	1	94	19	3	62	44	1.41	909	223
47	 Garcia, A	CWS	RF	1	4	0	0	108	22	6	63	33	1.91	745	216
49	 Ozuna, M	MIA	LF	3	0	0	1	123	24	8	58	46	1.26	889	240
50	 Kemp, M	ATL	LF	1	0	0	0	109	26	10	54	43	1.26	711	202
51	 Blackmon, C	COL	CF	0	3	3	3	146	33	0	56	60	0.93	1034	263
52	 Altuve, J	HOU	2B	2	4	0	1	115	25	9	74	48	1.54	842	247
53	 Judge, A	NYY	RF	2	2	0	0	126	28	10	44	27	1.63	959	219
54	 Harper, B	WSH	RF	10	1	0	0	114	27	3	40	40	1.00	903	213
55	 Gamel, B	SEA	RF	0	1	1	2	59	11	2	18	35	0.51	630	151
56	 Kendrick, H	PHI	LF	0	0	0	0	30	7	2	21	6	3.50	272	67
57	 Adrianza, E	MIN	SS	0	0	0	2	11	2	0	9	8	1.13	140	33
58	 Hicks, A	NYY	LF	0	1	1	3	79	19	6	46	29	1.59	682	170
59	 Cordero, F	SD	CF	0	0	0	0	11	2	0	4	1	4.00	108	27
